number	expt	date	genotype	percentDEET	stimulus	sum	CI
1	drc	20160807	N2	0.15	IAA	55	0.4
2	drc	20160807	N2	0.15	IAA	55	0.4
3	drc	20160807	N2	0.15	IAA	55	0.4
4	drc	20160807	N2	0.15	IAA	55	0.4
5	drc	20160807	N2	0.15	IAA	55	0.4
6	drc	20160807	N2	0.15	IAA	55	0.4
7	drc	20160807	N2	0.15	IAA	50	0.04
8	drc	20160807	N2	0.15	IAA	50	0.04
9	drc	20160807	N2	0.15	IAA	50	0.04
10	drc	20160807	N2	0.15	IAA	50	0.04
11	drc	20160807	N2	0.15	IAA	50	0.04
12	drc	20160807	N2	0.15	IAA	50	0.04
13	drc	20160807	N2	0.15	IAA	23	0.130434783
14	drc	20160807	N2	0.15	IAA	23	0.130434783
15	drc	20160807	N2	0.15	IAA	23	0.130434783
16	drc	20160807	N2	0.15	IAA	23	0.130434783
17	drc	20160807	N2	0.15	IAA	23	0.130434783
18	drc	20160807	N2	0.15	IAA	23	0.130434783
19	drc	20160807	N2	0.15	IAA	37	0.405405405
20	drc	20160807	N2	0.15	IAA	37	0.405405405
21	drc	20160807	N2	0.15	IAA	37	0.405405405
22	drc	20160807	N2	0.15	IAA	37	0.405405405
23	drc	20160807	N2	0.15	IAA	37	0.405405405
24	drc	20160807	N2	0.15	IAA	37	0.405405405
25	drc	20160807	N2	0.15	IAA	50	0.18
26	drc	20160807	N2	0.15	IAA	50	0.18
27	drc	20160807	N2	0.15	IAA	50	0.18
28	drc	20160807	N2	0.15	IAA	50	0.18
29	drc	20160807	N2	0.15	IAA	50	0.18
30	drc	20160807	N2	0.15	IAA	50	0.18
31	drc	20160807	N2	0	IAA	207	0.913043478
32	drc	20160807	N2	0	IAA	207	0.913043478
33	drc	20160807	N2	0	IAA	207	0.913043478
34	drc	20160807	N2	0	IAA	207	0.913043478
35	drc	20160807	N2	0	IAA	207	0.913043478
36	drc	20160807	N2	0	IAA	207	0.913043478
37	drc	20160807	N2	0	IAA	225	0.946666667
38	drc	20160807	N2	0	IAA	225	0.946666667
39	drc	20160807	N2	0	IAA	225	0.946666667
40	drc	20160807	N2	0	IAA	225	0.946666667
41	drc	20160807	N2	0	IAA	225	0.946666667
42	drc	20160807	N2	0	IAA	225	0.946666667
43	drc	20160807	crispr	0	IAA	229	0.615720524
44	drc	20160807	crispr	0	IAA	229	0.615720524
45	drc	20160807	crispr	0	IAA	229	0.615720524
46	drc	20160807	crispr	0	IAA	229	0.615720524
47	drc	20160807	crispr	0	IAA	229	0.615720524
48	drc	20160807	crispr	0	IAA	229	0.615720524
49	drc	20160807	crispr	0.15	IAA	55	0.109090909
50	drc	20160807	crispr	0.15	IAA	55	0.109090909
51	drc	20160807	crispr	0.15	IAA	55	0.109090909
52	drc	20160807	crispr	0.15	IAA	55	0.109090909
53	drc	20160807	crispr	0.15	IAA	55	0.109090909
54	drc	20160807	crispr	0.15	IAA	55	0.109090909
55	drc	20160807	crispr	0	IAA	265	0.698113208
56	drc	20160807	crispr	0	IAA	265	0.698113208
57	drc	20160807	crispr	0	IAA	265	0.698113208
58	drc	20160807	crispr	0	IAA	265	0.698113208
59	drc	20160807	crispr	0	IAA	265	0.698113208
60	drc	20160807	crispr	0	IAA	265	0.698113208
61	drc	20160807	crispr	0.15	IAA	81	0.197530864
62	drc	20160807	crispr	0.15	IAA	81	0.197530864
63	drc	20160807	crispr	0.15	IAA	81	0.197530864
64	drc	20160807	crispr	0.15	IAA	81	0.197530864
65	drc	20160807	crispr	0.15	IAA	81	0.197530864
66	drc	20160807	crispr	0.15	IAA	81	0.197530864
67	drc	20160807	crispr	0.15	IAA	57	0.210526316
68	drc	20160807	crispr	0.15	IAA	57	0.210526316
69	drc	20160807	crispr	0.15	IAA	57	0.210526316
70	drc	20160807	crispr	0.15	IAA	57	0.210526316
71	drc	20160807	crispr	0.15	IAA	57	0.210526316
72	drc	20160807	crispr	0.15	IAA	57	0.210526316
73	rescue	20160803	ewIR74r	0	IAA	274	0.828467153
74	rescue	20160803	ewIR74r	0	IAA	274	0.828467153
75	rescue	20160803	ewIR74r	0	IAA	274	0.828467153
76	rescue	20160803	ewIR74r	0	IAA	274	0.828467153
77	rescue	20160803	ewIR74r	0	IAA	274	0.828467153
78	rescue	20160803	ewIR74r	0	IAA	274	0.828467153
79	rescue	20160803	ewIR74r	0.15	IAA	78	-0.038461538
80	rescue	20160803	ewIR74r	0.15	IAA	78	-0.038461538
